F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,reward
36.34067,0.29754898,31.78601,34.71411,36.57269,4.7866783,684.9082,1181.7839,98.08333,87.20756,0.60080487,1.2956964,0.038023308,0.14145334,1.1773224,1.139299,16.747625,11.716204,11.334378,11.879851,0.39066687,1.6020957,13.464599,1.435812,5.2687674,2.0013964,-0.2575913,-55.184196,-1.6823558,-6.231786,0.039632257,1.7029766,1.5321571,0.82895,4.5475264,1.524834,8.225246,2.0965364,22.697983,0.93056387,669.0379,0.3742044,1187.4098,0.2767098,-132.67662,-0.6786286,1698.799,0.18398042,940.9172,0.38999042,-128.89278,-0.6731006,2806.8618,0.14472182,919.2794,0.44232467,-129.34526,-0.6522682,-11.919305,-1.1878936,25.079336,0.6291963,0.07942104,0.34541097,-0.018507697,-0.8047724,0.8769567,0.8092323,25.211843,0.93200433,5.76922,2.2927594,1.7957904,11.177886,-4.483913,-2.9886749,-4.6430235,14.593097,0.022540918,-0.00152271,0.056745984,1.6440315,1.4347203,0.276,0.37442487,0.56785715,0.73377866,-23.051107,-1
33.662205,0.25547507,31.510294,35.103535,36.600437,5.090143,67.32595,59.121376,96.10941,72.97541,0.2561437,2.0087001,0.036879227,0.05812052,0.21242711,0.17554788,17.877773,10.973939,11.627458,9.42496,0.2012926,2.7393808,8.924052,1.6575232,8.335836,1.297153,0.5513749,20.28987,-2.7915564,-3.2524889,0.045596354,1.6057465,1.4332358,0.81839544,5.5508075,1.0492069,9.615338,1.4586293,24.221853,0.61658376,620.4284,0.3989824,1324.928,0.23928086,-176.46246,-0.3537245,1667.433,0.18479918,1143.8135,0.34699482,-174.15985,-0.35779572,2677.9636,0.15289937,923.8699,0.3386168,-174.93341,-0.3458018,-15.874995,-0.98979455,29.191479,0.54691166,0.079885125,0.4255819,-0.014671188,-0.7846369,1.1447995,0.8024261,30.539625,0.6456488,4.9151516,3.9004352,8.275696,2.2784278,-2.684963,-4.5534477,-4.6919537,13.684966,0.01982247,-0.003170968,0.0348673,0.92378753,0.6955178,0.20666665,0.11224972,1.35875,1.8822755,-28.515518,-1
36.864246,0.13971812,35.80727,36.919212,38.113853,2.3065834,225.66762,108.84578,214.36818,307.38348,0.6392118,1.2278962,0.03923608,0.14919321,1.4568336,1.4175975,14.885962,10.143809,9.347324,6.2091265,0.39270002,1.4735811,17.940254,1.0511131,3.3868113,3.8196898,1.2457374,10.589024,-5.1560636,-3.082816,0.036818676,2.4824336,1.1117212,0.98463863,9.397935,0.6755941,14.606288,0.934325,29.000444,0.5377919,647.27057,0.33397362,1315.7842,0.21868967,-131.57143,-0.67360497,1658.5266,0.18264684,1040.3966,0.3456221,-124.17709,-0.6847794,2815.056,0.10953701,916.57855,0.40754595,-127.62545,-0.6333595,-19.248608,-0.66428405,32.371662,0.40293527,0.086942144,0.35575438,-0.021689845,-0.72339,0.8073407,0.76815295,33.62532,0.4330918,5.3348737,2.922578,7.1969466,2.0262513,-13.082094,-1.4664935,-2.7534792,14.512332,0.023530373,0.002502663,0.06590509,1.8348625,1.0915197,0.39846152,0.31675875,0.46142855,0.7413488,-20.318314,1
34.83295,0.17292279,32.670856,35.46234,36.89088,4.220024,756.5753,978.0172,449.7664,964.407,0.5485106,1.3409327,0.037067734,0.09198638,1.2633212,1.2262534,17.040369,10.090325,13.048553,10.387235,0.3671554,1.6703695,17.177107,1.0704559,5.798173,1.7380729,2.0468264,5.808686,-4.1443377,-2.948734,0.026950682,2.0504293,1.178637,0.9807513,8.118629,0.7541832,9.823077,1.7895174,27.22733,0.7088928,665.67834,0.31325108,1285.5992,0.20958304,-138.95613,-0.6172304,1725.207,0.17571327,1019.2633,0.36307505,-136.92682,-0.59298253,2801.7637,0.13621895,958.8616,0.46122178,-139.50203,-0.5574206,-19.567577,-0.625926,31.692188,0.46012342,0.08094496,0.3410272,-0.024024837,-0.6350938,0.88670933,0.77280325,34.221622,0.49129495,7.425037,1.8263042,7.4729047,2.1993165,-11.250847,-1.3807983,-5.4534802,14.813444,0.025557293,-0.003336719,0.06523212,1.8198363,1.3711152,0.26133332,0.2805677,0.4778571,0.6547211,-20.999094,-1
34.46023,0.2402536,32.904037,34.876286,36.03326,3.1292229,512.36237,651.3231,101.77517,70.299995,0.5038151,1.8018395,0.03538492,0.0541143,0.8731901,0.8378052,21.080582,11.594679,13.794008,8.610678,0.3927471,2.1454182,8.717961,1.9722406,8.460364,1.1276736,3.2127016,3.5797703,-2.9463093,-3.9139984,0.03057982,1.432475,1.3920139,0.839149,6.3776016,1.0281401,8.084164,1.8858159,23.616133,0.7430997,616.5243,0.4103807,1219.276,0.25040457,-150.16905,-0.55221903,1679.0159,0.21421845,888.3052,0.41216022,-146.90007,-0.5477281,2731.6013,0.13506965,881.31494,0.47143656,-147.49576,-0.53174835,-14.847277,-0.8993225,25.760714,0.56141275,0.084171936,0.36068773,-0.018315593,-0.8411502,1.1965127,0.9484604,26.282953,0.7517759,10.0709,1.3885086,8.990862,1.898436,-8.7293215,-1.840087,-3.7125843,13.179002,0.013033196,-0.000582053,0.03917204,1.4178482,1.0050251,0.30083334,0.15429722,0.8069999,1.499967,-20.817358,-1
36.539146,0.2928841,33.336124,35.705402,36.930656,3.594532,488.18094,982.52386,130.93211,73.2766,0.5707016,1.1170567,0.0656819,0.25208473,1.1435882,1.0779063,15.035865,9.407784,9.581488,8.383527,0.47839087,1.3608752,18.088451,1.1303213,4.5817676,3.144298,3.3866987,4.1979294,1.3497941,10.5944195,0.06256829,1.4468954,1.8454281,0.6935007,5.241313,1.2599323,10.190678,1.4452226,25.45019,0.72123855,696.7648,0.35853696,1236.456,0.25664216,-112.71611,-0.80361414,1713.7075,0.15623477,990.8959,0.29555988,-105.33765,-0.815906,2842.3323,0.12271759,962.4926,0.3822531,-107.91638,-0.7587988,-13.873143,-1.1934607,28.017172,0.60403275,0.071257904,0.52758086,-0.014774847,-1.1244607,0.79923004,0.8676611,27.636587,0.76583844,4.2308044,3.9623637,5.9964256,2.7286334,0.005373343,3112.8281,-4.1406875,14.462125,0.028583698,-0.002607771,0.10814477,2.365787,2.4702654,0.2111111,0.19499922,0.19956522,0.27415448,-22.549822,1
37.439106,0.28935874,32.91212,34.40747,39.575245,6.663124,694.30115,574.81104,147.0349,187.48053,0.34622782,1.6012284,0.036730967,0.05735596,0.73699784,0.7002669,17.398357,13.752044,10.277246,8.247555,0.2119359,2.076564,11.658256,1.4041921,4.7214727,1.7426754,-0.007283744,-1466.8826,-0.47552812,-22.918453,0.04705794,1.614018,1.5880035,0.750654,4.9402156,1.2754588,8.697093,1.036446,23.194527,0.45437688,702.54016,0.39742512,1205.5123,0.2609824,-157.86996,-0.4974964,1748.3655,0.19822937,926.8972,0.31718597,-149.20854,-0.5410519,2809.9202,0.12249815,940.1316,0.44805452,-150.29402,-0.51645446,-11.060136,-1.3215841,25.119484,0.58389,0.071075685,0.47696158,-0.015028199,-1.0743002,0.68528736,0.8561281,22.10135,1.0949856,4.1281986,3.1145234,3.1505253,5.452395,-3.223642,-5.19286,-6.323473,16.75161,0.019429827,-0.003124966,0.02121358,1.2738854,1.2797076,0.21499999,0.17609859,0.50666666,0.72838324,-27.351183,1
34.398792,0.3284825,25.73768,34.515823,37.59512,11.857439,444.28598,631.3962,142.88072,94.050026,0.9120996,1.1022754,0.07836065,0.5125014,1.7624726,1.684112,21.890379,12.809743,14.409316,8.709801,0.766038,1.4324383,10.677251,1.972095,9.952554,1.6240319,3.5481703,4.5813127,-3.3279433,-4.358702,0.0633706,1.9113464,1.5976019,0.614102,3.4934251,1.7227658,8.569877,1.8372595,21.455963,0.8629111,657.51465,0.4121465,1152.56,0.3090625,-110.884224,-0.82807046,1697.1348,0.18747021,881.91254,0.42042083,-105.62279,-0.8093097,2782.9053,0.13168581,839.1872,0.4919278,-106.399025,-0.7832999,-12.183716,-1.2437516,22.959541,0.68017626,0.07170229,0.44135895,-0.020152075,-0.9745055,1.2289317,0.9560624,19.973038,1.1012655,11.079018,1.605854,6.3317213,2.8935993,-6.6332026,-2.4226933,-1.4468766,10.663069,0.02405726,-0.001344514,0.23165977,2.2324865,2.8615625,0.17594595,0.1603621,0.17281249,0.40384272,-20.36572,-1
35.365192,0.29406098,23.181421,34.794903,43.3491,20.167677,323.31543,150.15485,439.71924,284.75656,0.164568,1.803485,0.03392486,0.03572686,0.13404498,0.10012011,2.086473,2.0313563,2.3058977,2.8298056,0.055535316,2.5725982,1.9656718,5.6445227,4.534122,1.8661631,2.4631813,3.4268622,-1.5929852,-4.889328,0.10967235,1.1027071,2.0039585,0.58434016,3.0219393,2.2599347,1.613191,7.1773295,9.577552,1.9297218,727.7757,0.35028526,1205.9218,0.2533544,-191.59195,-0.20658472,1755.6296,0.1542665,913.0432,0.33638677,-190.75253,-0.20997392,2887.43,0.09947019,782.3189,0.38297305,-190.55832,-0.21041577,-13.5478115,-1.2165148,24.032911,0.7559408,0.0767951,0.5085355,-0.012357928,-1.0224355,0.37839535,0.9141391,23.284395,0.7026292,-3.410183,-6.9265184,13.668912,0.94603807,-8.10386,-1.3267905,-2.767383,12.446527,0.018929755,-0.000416953,0.036383692,0.41701418,0.5025126,0.099999994,0.08346656,1.6014285,1.9245068,-41.296253,1
35.522213,0.072518475,33.806755,35.710445,36.982315,3.17556,16.23636,18.86557,20.633118,7.446514,0.30748633,1.8158265,0.03674132,0.067126326,0.23567772,0.1989364,11.025676,10.247016,9.549555,9.085532,0.21995364,2.6702416,8.679582,1.7890639,9.60146,0.9516891,2.4700425,4.428395,1.102654,8.317644,0.015510004,1.1115394,0.9905192,0.9354653,10.335836,0.4359057,11.707924,0.8522145,26.397984,0.46404234,657.1815,0.34223872,1389.6278,0.332564,-169.10669,-0.3993983,1730.9263,0.18814044,1028.0565,0.45595932,-164.74428,-0.4126188,2851.0032,0.10564992,912.62634,0.5843461,-166.30719,-0.3908406,-23.550905,-0.44161084,35.691654,0.30859962,0.06474754,0.5582705,-0.018943014,-0.56624323,0.9755309,0.94738,31.639656,0.4575094,16.94392,0.79621047,9.702395,1.7051532,2.9607918,5.1593556,-4.225977,12.692031,0.022474619,-0.003261995,0.009376236,0.6369427,0.45745656,0.468,0.3490215,1.698,1.7414292,-22.076849,-1
